#SPECTRUM - MS
#20190701-APO-6-25-3.RAW
#FTMS + p NSI Full ms2 1000.0000@hcd300.00 [1000.0000-20000.0000]
#Scan #: 1277-1613
#RT: 5.36-6.79
#AV: 337
#Data points: 51778
Mass	Background
990.014550	0.000000
990.044094	0.000000
990.073639	0.000000
990.103185	0.000000
999.836240	0.000000
999.866225	0.000000
999.896210	0.000000
999.926197	0.000000
999.956186	0.712933
999.986176	7.085311
1000.016167	15.214585
1000.046160	20.566687
1000.076154	22.982234
1000.106149	26.384347
1000.136145	28.268022
1000.166143	33.351053
1000.196143	39.684236
1000.226143	40.862822
1000.256145	40.940454
1000.286149	40.347561
1000.316153	32.912762
1000.346159	28.708163
1000.376167	27.036245
1000.406175	23.541082
1000.436186	21.592781
1000.466197	21.033241
1000.496210	17.882676
1000.526224	22.605061
1000.556240	24.972762
1000.586256	26.054049
1000.616275	27.533791
1000.646294	30.068281
1000.676315	32.322522
1000.706337	31.824620
1000.736361	27.374084
1000.766386	17.049187
1000.796412	13.970454
1000.826440	16.497283
1000.856469	21.193506
1000.886499	29.280058
1000.916531	35.426906
1000.946564	36.146579
1000.976598	30.300474
1001.006634	22.690072
1001.036671	19.100156
1001.066710	20.399944
1001.096750	26.014433
1001.126791	27.369559
1001.156833	26.236584
1001.186877	28.607530
1001.216922	30.471871
1001.246969	29.600315
1001.277017	25.294024
1001.307066	22.230054
1001.337117	20.974703
1001.367169	18.842641
1001.397222	20.985631
1001.427277	22.686060
1001.457333	23.167096
1001.487390	28.571192
1001.517449	34.233628
1001.547509	40.073667
1001.577571	40.572747
1001.607634	31.000170
1001.637698	19.512333
1001.667763	14.194475
1001.697830	15.445811
1001.727898	20.696199
1001.757968	22.330491
1001.788039	20.148225
1001.818111	20.668568
1001.848185	23.154384
1001.878260	27.534785
1001.908336	31.710404
1001.938414	38.731333
1001.968493	39.857882
1001.998573	39.258899
1002.028655	34.657711
1002.058738	28.225038
1002.088823	18.726202
1002.118909	11.268150
1002.148996	7.674038
1002.179085	7.025405
1002.209174	10.077360
1002.239266	13.875210
1002.269358	14.726361
1002.299452	15.287277
1002.329548	16.686490
1002.359644	16.420246
1002.389742	21.528029
1002.419842	25.710756
1002.449942	27.270637
1002.480045	31.500796
1002.510148	36.785272
1002.540253	38.881449
1002.570359	37.331617
1002.600467	31.067551
1002.630576	25.028364
1002.660686	22.982602
1002.690797	19.980092
1002.720910	21.679529
1002.751025	26.415803
1002.781140	35.134546
1002.811257	40.664557
1002.841376	44.835841
1002.871495	44.321904
1002.901617	38.231027
1002.931739	34.142712
1002.961863	29.936877
1002.991988	24.782433
1003.022115	21.931836
1003.052242	23.086581
1003.082372	24.933440
1003.112502	26.935080
1003.142634	28.010896
1003.172768	26.839962
1003.202902	26.829372
1003.233038	27.336528
1003.263176	25.107898
1003.293314	23.795855
1003.323454	22.504032
1003.353596	22.966008
1003.383739	26.247192
1003.413883	27.524054
1003.444028	23.899151
1003.474175	20.054030
1003.504324	22.273605
1003.534473	27.345662
1003.564624	29.113086
1003.594777	25.274960
1003.624930	17.459369
1003.655085	8.946412
1003.685242	7.213465
1003.715399	7.443800
1003.745559	9.622248
1003.775719	13.389705
1003.805881	16.501803
1003.836044	17.094908
1003.866209	16.402848
1003.896375	14.002442
1003.926542	11.413217
1003.956711	10.941720
1003.986881	15.736716
1004.017052	25.414812
1004.047225	33.856601
1004.077399	35.748961
1004.107574	28.646683
1004.137751	19.811795
1004.167929	14.267221
1004.198109	14.861701
1004.228290	16.261157
1004.258472	17.949838
1004.288655	16.778469
1004.318840	13.569718
1004.349027	13.161726
1004.379214	15.165203
1004.409404	20.412130
1004.439594	24.746052
1004.469786	32.703717
1004.499979	40.352825
1004.530173	43.508823
1004.560369	42.032718
1004.590566	41.663770
1004.620765	40.437492
1004.650965	37.712285
1004.681166	30.059322
1004.711369	20.409094
1004.741573	13.351517
1004.771778	9.333420
1004.801985	11.651084
1004.832193	19.263399
1004.862403	26.750675
1004.892614	29.030837
1004.922826	24.428875
1004.953039	19.049817
1004.983254	19.924793
1005.013471	22.304067
1005.043688	25.004159
1005.073907	26.295764
1005.104128	26.256155
1005.134349	25.109873
1005.164572	32.743205
1005.194797	33.984752
1005.225023	34.208227
1005.255250	30.799221
1005.285478	29.539640
1005.315708	29.772480
1005.345940	29.409186
1005.376172	25.569459
1005.406406	20.433818
1005.436642	17.003832
1005.466878	22.586648
1005.497117	26.259502
1005.527356	28.459868
1005.557597	30.372721
1005.587839	27.195592
1005.618083	21.084078
1005.648328	15.764352
1005.678574	14.632532
1005.708821	18.431907
1005.739070	23.333618
1005.769321	28.147548
1005.799573	33.249236
1005.829826	35.649409
1005.860080	34.434090
1005.890336	28.530485
1005.920593	18.986962
1005.950852	15.995032
1005.981112	16.951106
1006.011373	20.456002
1006.041636	22.597825
1006.071900	22.243446
1006.102165	22.980140
1006.132432	26.537964
1006.162700	27.527765
1006.192970	27.287663
1006.223240	27.015579
1006.253513	24.161822
1006.283786	24.850041
1006.314061	21.773521
1006.344338	22.151049
1006.374615	23.350628
1006.404894	29.205898
1006.435175	34.195687
1006.465457	37.698498
1006.495740	38.802797
1006.526024	35.553211
1006.556310	28.261037
1006.586597	24.190289
1006.616886	21.850674
1006.647176	19.561073
1006.677467	23.274500
1006.707760	29.251700
1006.738054	29.392472
1006.768350	22.593637
1006.798647	15.547914
1006.828945	10.130735
1006.859244	7.554278
1006.889545	11.071350
1006.919848	17.197868
1006.950151	24.967669
1006.980456	28.471505
1007.010763	26.862962
1007.041070	28.334309
1007.071380	32.693122
1007.101690	40.969812
1007.132002	48.876829
1007.162315	47.212519
1007.192630	36.679194
1007.222946	25.401246
1007.253263	19.029513
1007.283582	17.745456
1007.313902	17.632877
1007.344224	17.381390
1007.374546	16.361465
1007.404871	14.324427
1007.435196	9.415462
1007.465523	5.151383
1007.495851	6.132374
1007.526181	15.156615
1007.556512	26.603203
1007.586845	33.228905
1007.617178	34.866741
1007.647513	30.068624
1007.677850	23.284180
1007.708188	16.518529
1007.738527	11.172234
1007.768868	13.461980
1007.799210	19.735308
1007.829553	30.681822
1007.859898	36.832215
1007.890244	36.585678
1007.920592	31.551989
1007.950940	31.572403
1007.981291	27.581421
1008.011642	30.170296
1008.041995	27.326415
1008.072350	21.964179
1008.102705	16.609564
1008.133062	23.802621
1008.163421	30.417428
1008.193781	37.480882
1008.224142	34.417826
1008.254504	30.993504
1008.284868	26.460064
1008.315234	22.247955
1008.345600	16.783094
1008.375968	17.517050
1008.406338	19.346861
1008.436709	26.824334
1008.467081	34.147580
1008.497454	33.177590
1008.527829	31.786246
1008.558206	27.471617
1008.588583	26.669672
1008.618962	30.872742
1008.649343	34.509694
1008.679724	35.119612
1008.710108	29.788681
1008.740492	20.682109
1008.770878	13.453987
1008.801265	19.534927
1008.831654	23.241903
1008.862044	26.120220
1008.892435	27.026271
1008.922828	26.789791
1008.953222	23.301734
1008.983618	24.821689
1009.014015	25.347330
1009.044413	26.252764
1009.074813	27.835948
1009.105214	27.564865
1009.135616	21.351983
1009.166020	15.941426
1009.196425	15.075516
1009.226831	15.419415
1009.257239	17.280003
1009.287649	20.497609
1009.318059	21.258796
1009.348471	20.944458
1009.378885	21.311056
1009.409299	21.810771
1009.439715	19.480415
1009.470133	18.632038
1009.500552	15.601314
1009.530972	13.053702
1009.561394	12.722492
1009.591817	15.228863
1009.622241	21.350997
1009.652667	29.675515
1009.683094	33.612912
1009.713522	35.435384
1009.743952	32.949179
1009.774384	33.273685
1009.804816	31.795618
1009.835250	24.772666
1009.865686	21.165278
1009.896122	21.477808
1009.926560	25.465717
1009.957000	31.828360
1009.987441	34.680940
1010.017883	30.029821
1010.048327	29.466677
1010.078772	26.713669
1010.109218	29.539488
1010.139666	30.268980
1010.170115	27.864989
1010.200566	27.652150
1010.231017	30.554155
1010.261471	28.739761
1010.291925	26.610595
1010.322381	23.032144
1010.352839	23.668744
1010.383298	26.063051
1010.413758	25.577308
1010.444219	21.765073
1010.474682	24.364613
1010.505146	23.921803
1010.535612	22.842147
1010.566079	18.286144
1010.596548	13.176428
1010.627017	11.411768
1010.657489	12.777400
1010.687961	21.650367
1010.718435	32.697875
1010.748910	40.319602
1010.779387	44.287702
1010.809865	40.287402
1010.840345	33.452864
1010.870825	32.779549
1010.901308	38.237469
1010.931791	41.935542
1010.962276	44.475560
1010.992763	42.248722
1011.023250	38.737441
